@id	name	highway
2667099	Lerma Street	primary
2667111	Quezon Boulevard	primary
2667112	F. B. Harrison Street	secondary
4075788	25th Street	tertiary
4075790	Bonifacio Drive	trunk
4078786	Osme̱a Highway	primary
4086661	Roxas Boulevard Service Road	tertiary
4086662	Cortabitarte Street	residential
4086663	Aldecoa Street	residential
4086665	United Nations Avenue	secondary
4086667	Doctor J. Quintos Street	unclassified
4231556	A. Estrada Street	tertiary
4243613	Paco-Santa Mesa Road	primary
4243614	Victorino Mapa Street	primary
4258653		service
4258656	Valenzuela Street	primary
4258662		service
4268387	Magsaysay Boulevard	primary
4280471	Dimasalang Road	primary
4280472	Aurora Boulevard	secondary
4280473	Dimasalang Road	primary
4280475	Isagani Street	residential
4280480	Tiago Street	residential
4280481	Aragon Street	tertiary
4280482	Aragon Street	tertiary
4302839		service
4304462	Anda Circle	trunk
4304666	Mel Lopez Boulevard	trunk
4304668		service
4304669	2nd Street	tertiary
4304670	Mel Lopez Boulevard	trunk
4304671	"Roberto S. Oca, Senior Avenue"	tertiary
4304673	Mel Lopez Boulevard	trunk
4304674	Mel Lopez Boulevard	trunk
4304676	Mel Lopez Boulevard	trunk
4304677	MICT South Access Road	unclassified
4304681	Mel Lopez Boulevard	trunk
4304682		service
4304684	Zaragoza Street	tertiary
4304687		footway
4304691	Arsenio Cruz-Herrera Street	unclassified
4304693	Santa Monica Street	residential
4304694	R. Salas Street	unclassified
4304695	Cuarteles Street	unclassified
4304697	P. del Carmen Street	residential
4304699		service
4304703	Victoria Street	tertiary
4308754		service
4332731	Shaw Boulevard	primary
4332734	P. Sanchez Street	primary
4350719	Finance Road	secondary
4350721	Ayala Boulevard	secondary
4350722	Ayala Boulevard	secondary
4350726	Aguado Street	residential
4350727	San Rafael Street	residential
4361078	M. Earnshaw Street	tertiary
4371996	Pablo Ocampo Street	secondary
4443913		secondary_link
4478182	Victorino Mapa Street	primary
4483518	A.H. Lacson Avenue	primary
4486368	Roxas Boulevard	trunk
4486405	Quezon Boulevard	primary
4486409	Panay Street	residential
4491076	President Quirino Avenue	primary
4588647	Old Santa Mesa Street	primary
4588648	Paco-Santa Mesa Road	primary
4637643	A. Villegas Street	unclassified
4637649	R. Magsaysay Boulevard	primary
4637707	B. Tuazon Street	residential
4637708	Cebu Street	residential
4638432	Paco-Santa Mesa Road	primary
4638433	Paco-Santa Mesa Road	primary
4652521	Leyte del Sur Street	residential
4813884	A.H. Lacson Avenue	primary
4813889	M. de la Fuente Street	tertiary
4847954	Paco-Santa Mesa Road	primary
4848080	Pablo Ocampo Street	secondary
4872821	Herbosa Street	tertiary
4940723	Madre Ignacia Street	residential
4947932	Leon Guinto Street	tertiary
4970340	Magsaysay Boulevard	primary
5018793	Adriatico Street	tertiary
5018794		service
5018809	MacArthur Bridge	primary
5019444	Alfonzo Mendoza Street	secondary
